English	Italiano
Multiplayer	Multigiocatore
Multiplayer Settings	Impostazioni multigiocatore
Multiplayer World	Mondo multigiocatore
Multistrike	Colpo multiplo
Murder Tempo	Tempo Omicida
Music	Musica
Music Volume	Volume della musica
Mutilation	Mutilazione
Myrll	Myrll
Myrll Required	Richiede Myrll
Myrll's Shop	Negozio di Myrll
Mystic	Mistico
Mystic Amulet	Amuleto Mistico
Mystweave	Trama Mistica
Mythic Band	Anello Mitico
Mythic Bracer	Bracciale Mitico
Mythic Cincture	Cintura Mitica
Mythic Emblem	Emblema Mitico
Mythic Undercoat	Sottoveste Mitica
Mythical	Mitico
N/A	N/D
Name	Nome
Name cannot contain two spaces in a row	Il nome non può contenere due spazi consecutivi
Name Confirm	Conferma nome
Name has too many accents stacked on one character	Il nome ha troppi accenti sullo stesso carattere
Name must start with a letter	Il nome deve iniziare con una lettera
Name:	Nome:
Nature's Calm Tonic	Tonico della Calma Naturale
Nature's Ward Steak	Bistecca della Protezione Naturale
Natures Shroud	Manto della Natura
Navigate	Naviga
Navigate Options	Scorri le opzioni
Nearby Event Advanced	Evento vicino avanzato
Nearby Event Complete!	Evento vicino completato!
Nearby Event:	Evento vicino:
Nearby Farmstead	Fattoria Vicina
Nerveblight	Piaga Nervosa
Nesting Hollow	Conca dei Nidi
New	Nuovo
new blood	recluta
New Build Unlocked: {0}	Nuova costruzione sbloccata: {0}
New Character Only	Solo nuovi personaggi
New Characters Only	Solo nuovi personaggi
New characters only	solo nuovi personaggi
New Deed:	Nuovo incarico:
New deeds available at the deed board.	Nuovi incarichi disponibili alla bacheca.
New item:	Nuovo oggetto:
New Main Quest:	Nuova missione principale:
New Member Joined the Sanctum	Un nuovo membro si è unito al Santuario
New pet available at Myrll's Shop	Nuovo compagno disponibile al Negozio di Myrll
New Recipe Unlocked	Nuova ricetta sbloccata
New Recipe Unlocked: {0}	Nuova ricetta sbloccata: {0}
New Side Quest:	Nuova missione secondaria:
New Skill Point Unlocked	Nuovo punto abilità sbloccato
New Stat	Nuova statistica
News & Updates	Notizie e aggiornamenti
NewWorld	NuovoMondo
Next	Avanti
Next Color	Colore successivo
Next Level XP	XP prossimo livello
Next Level XP:	XP prossimo livello:
Next Page	Pagina successiva
Next page	Pagina successiva
Next Tab	Scheda successiva
Next/Previous	Successivo/Precedente
Nights Whisper	Sussurro della Notte
Nine	Nove
No	No
No active player can post the big blind.	Nessun giocatore attivo può versare il buio grande.
No active player can post the small blind.	Nessun giocatore attivo può versare il buio piccolo.
No active player can take the dealer button.	Nessun giocatore attivo può prendere il bottone del mazziere.
No chests supplying	Nessuna cassa che rifornisce
No Cooldown	Nessun tempo di recupero
No empty slot to place the split stack.	Nessuno slot libero per la pila divisa.
No entries match your search.	Nessuna voce corrisponde alla ricerca.
No friends online	Nessun amico online
No items in this filter	Nessun oggetto in questo filtro
No lobbies found.	Nessuna lobby trovata.
No lobbies match your filters.	Nessuna lobby corrisponde ai filtri.
No matches	Nessun risultato
No Matching Items	Nessun oggetto corrispondente
No news at this time	Nessuna novità al momento
No one is eligible for the pot of {0}. It is forfeited.	Nessuno ha diritto al piatto di {0}. Viene perso.
No player is able to act first.	Nessun giocatore può agire per primo.
No recipes to unlock.	Nessuna ricetta da sbloccare.
No seats are available at this table for an NPC.	Non ci sono posti liberi a questo tavolo per un NPC.
No seats are available at this table.	Non ci sono posti liberi a questo tavolo.
No servers online	Nessun server online
No Space	Spazio insufficiente
No special modifiers.	Nessun modificatore speciale.
No Target	Nessun bersaglio
Normal Sprint	Scatto normale
North Ruins Camp	Campo delle Rovine Nord
Northcut Camp Campfire	Falò del Campo di Northcut
Northern Lost Ruin	Rovina Perduta Settentrionale
Northern Outpost	Avamposto Settentrionale
Not enough Concentration	Concentrazione insufficiente
Not enough gold to purchase that	Oro insufficiente per l'acquisto
Not enough gold to refund that	Oro insufficiente per il rimborso
Not enough Health	Salute insufficiente
Not enough inventory space for that	Spazio nell'inventario insufficiente
Not enough resources	Risorse insufficienti
Not enough Stamina	Vigore insufficiente
Note	Nota
Note:	Nota:
Nothing discovered yet	Nessuna scoperta ancora
Nourishment	Nutrimento
Nourishment drained	Nutrimento esaurito
Nourishment Low	Nutrimento basso
Novice Emblem	Emblema del Novizio
NPC Quests	Missioni degli NPC
Numen	Numen
Oak Cabinet	Credenza di Quercia
Objective:	Obiettivo:
Offence	Offesa
Offense	Offesa
Offensive Tool	Strumento offensivo
Ogre Magi	Maghi Ogre
Oil	Olio
Oil And Fire	Olio e Fuoco
Oil Flask	Fiasca d'Olio
Oil Pool	Pozza d'Olio
Old Campfire	Vecchio Falò
Old Character already Selected	Personaggio vecchio già selezionato
Old Faith	Antica Fede
Old Gods	Antichi Dei
Old Ones	Antichi
Old Ones' Ruins	Rovine degli Antichi
Old Stump	Vecchio Ceppo
On Cooldown	In recupero
One Away	Manca uno
One Away!	Manca uno!
One ingredient away from a new recipe!	Manca un ingrediente per una nuova ricetta!
One ingredient away from {0} new recipes!	Manca un ingrediente per {0} nuove ricette!
Only drinks can go in the auto-drink slot.	Nello slot di idratazione automatica vanno solo bevande.
Only food can go in the auto-eat slot.	Nello slot di alimentazione automatica va solo cibo.
Only its owner can change this.	Solo il proprietario può modificarlo.
Only one player remains. The round is over.	Resta un solo giocatore. Il turno è finito.
Only one {0} can be equipped	Puoi equipaggiare un solo {0}
Only pets can be placed in the pet pen	Nel recinto si possono mettere solo compagni
Only recipe items can be selected	Si possono selezionare solo oggetti da ricetta
Only recipe items from your backpack can be selected	Si possono selezionare solo oggetti da ricetta dello zaino
Only the owner can dismantle this	Solo il proprietario può smontarlo
Only the party leader can kick players	Solo il capogruppo può espellere giocatori
Onslaught	Assalto
Open	Apri
Open <color=#FFDA00>Build Menu</color> by holding	Apri il <color=#FFDA00>menu costruzioni</color> tenendo premuto
Open <color=#FFDA00>Build Menu</color> by pressing	Apri il <color=#FFDA00>menu costruzioni</color> premendo
Open build menu by holding	Apri il menu costruzioni tenendo premuto
Open Profile Window	Apri finestra del profilo
Open Trade Window	Apri la finestra di scambio
Open your <color=#FFDA00>Inventory</color>	Apri l'<color=#FFDA00>inventario</color>
Open your Inventory with	Apri l'inventario con
Open your Map at any time with	Apri la mappa in qualsiasi momento con
Options	Opzioni
Order by	Ordina per
Order:	Ordine:
Outbreak	Epidemia
Output	Risultato
output	risultato
Over-run Shrine	Sacrario Invaso
Over-run Shrine Waypoint	Punto di passaggio del Sacrario Invaso
Overchannel	Sovraccanalizzazione
Overview	Riepilogo
Owned: {0}	Posseduti: {0}
Owner	Proprietario
Packbond	Vincolo del Branco
Padded Undercoat	Sottoveste Imbottita
Page Complete	Pagina completata
Pale Bark The Old Oak	Pale Bark la Vecchia Quercia
Pants	Pantaloni
Parry	Parata
Party	Gruppo
Party Disbanded	Gruppo sciolto
Party has been disbanded	Il gruppo è stato sciolto
Party Invitation	Invito al gruppo
Party invite from: {0}	Invito al gruppo da: {0}
Party Name	Nome del gruppo
Party XP:	XP del gruppo:
Party {0} created	Gruppo {0} creato
passing-ritual	rito di passaggio del dono
Passionate Partner	Partner Appassionato
Passive	Passiva
Passive bonus - stacks with your other bonuses.	Bonus passivo: si somma agli altri bonus.
Password	Password
Password Protected	Protetta da password
Password protected	protetta da password
Path blocked	Percorso bloccato
Pathing made of stone.	Un camminamento di pietra.
Pathsurge	Ondata di Sentieri
Pathweaver	Tessitore di Sentieri
Pause/Play	Pausa/Riproduci
pennant	gagliardetto
Percent	Percentuale
Perfect Parry by blocking the moment an attack lands with	Parata perfetta: para nell'istante in cui l'attacco arriva con
Perfect Vanish	Dissolvenza perfetta
Perfected Rune	Runa Perfezionata
perimeter pass	giro del perimetro
Periodically produces Droop Cores for harvest.	Produce periodicamente Nuclei di Droop da raccogliere.
Periodically produces eggs for harvest.	Produce periodicamente uova da raccogliere.
Periodically produces Water.	Produce periodicamente Acqua.
Permafrost Rhythm	Ritmo del Permafrost
Persona	Persona
Personal Loot	Bottino personale
Personal loot	Bottino personale
Personal\nLoot	Bottino\npersonale
Pestilent Tremor	Tremore Pestilenziale
Pet	Compagno
Pet courier	Corriere compagno
Pet Description	Descrizione del compagno
Pet inventory is empty.	L'inventario del compagno è vuoto.
Pet Menu	Menu dei compagni
Pet Pen	Recinto dei compagni
Pet Pen is full	Il recinto è pieno
Pet Pen Level	Livello del recinto
Pet Pen: 12 slots, train pets to level 10, +10% pen XP.	Recinto: 12 posti, allena i compagni fino al livello 10, +10% XP del recinto.
Pet Pen: 24 slots, train pets to level 15, +20% pen XP.	Recinto: 24 posti, allena i compagni fino al livello 15, +20% XP del recinto.
Pet Spell	Incantesimo del compagno
Pet Spell Description	Descrizione dell'incantesimo del compagno
Pet Spell Name	Nome dell'incantesimo del compagno
Pet storage is full	Il deposito dei compagni è pieno
Pets can't be placed in courier storage	I compagni non si possono mettere nel deposito del corriere
Pets can't be stored in containers.	I compagni non si possono mettere nei contenitori.
Pets cannot be sold here.	Qui non si possono vendere compagni.
Pets cannot be sold.	I compagni non si possono vendere.
Phantom Crossfire	Fuoco Incrociato Fantasma
Phase Duellist	Duellante di Fase
Phasing	Sfasato
Physical	Fisico
Physical Damage	Danno fisico
Physical Damage Percent	Danno fisico %
Physical Damage Percent:	Danno fisico %:
Physical Damage:	Danno fisico:
Physical Piercing	Penetrazione fisica
Physical Piercing:	Penetrazione fisica:
Physical Power	Potere fisico
Physical Power Increase	Aumento del potere fisico
Physique	Costituzione
Physique:	Costituzione:
Pickaxe	Piccone
Piece Bonus	Bonus per pezzo
Piercing	Penetrazione
Pillar	Pilastro
Pine Window	Finestra di Pino
Pinewood [1/13]	Pino [1/13]
Pinewood Branch	Ramo di pino
Pinewood Chair	Sedia di Pino
Pinewood Chest	Cassa di Pino
Pinewood Door	Porta di Pino
Pinewood Foundation	Fondazione di Pino
Pinewood Log	Tronco di pino
Pinewood Mill	Mulino di Pino
Pinewood Planks	Tavole di Pino
Pinewood Table	Tavolo di Pino
Pinewood Torch	Torcia di Pino
Pinewood Tree Garden	Giardino di Pini
Pinewood Wall	Muro di Pino
Pitfighter	Lottatore da Fossa
Place Beacon	Piazza segnalatore
Plague Magic	Magia della peste
Plague Marksmanship	Tiro della Peste
Plague Mind	Mente della Peste
Plague Shards	Frammenti di peste
Plain Talisman	Talismano Comune
Plain wooden chair for seating.	Una semplice sedia di legno.
Play/Pause	Riproduci/Pausa
Played Before	Già giocato
Player	Giocatore
Player Benchmark	Test prestazioni
Player List	Elenco dei giocatori
Players	Giocatori
players	giocatori
Plump	Plump
Poet's Brew	Infuso del Poeta
Point of Interest Found:	Punto d'interesse trovato:
POIs	Punti d'interesse
Poison	Veleno
Poison Cure	Antidoto
Poison Damage	Danno da veleno
Poison Damage:	Danno da veleno:
Poison Duration	Durata veleno
Poison Duration:	Durata veleno:
Poison Erupt	Eruzione Velenosa
Poison Flask	Fiasca di Veleno
Poison Mist	Nebbia velenosa
Poison Piercing	Penetrazione da veleno
Poison Pool	Pozza di Veleno
Poison Resistance	Resistenza al veleno
Poison Spores	Spore Velenose
Poisoned	Avvelenato
Poker Table	Tavolo da Poker
Poker Table unlocked! You can now build one at your base.	Tavolo da poker sbloccato! Ora puoi costruirne uno alla base.
Polished Band	Anello Lucidato
Pool of Remembrance	Pozza del Ricordo
Post Processing	Post-elaborazione
Pot plants from Earlwood Village.	Piante in vaso dal Villaggio di Earlwood.
Potato	Patata
Potential Loot	Bottino possibile
Potion	Pozione
Power Hook	Gancio potente
Power Of The Wild	Potere della Natura Selvaggia
Praesidiism	Presidiismo
Precision Fang	Zanna di Precisione
Press	Premi
Press '{0}'	Premi '{0}'
Press to build	Premi per costruire
Pressure	Pressione
Previous Color	Colore precedente
Previous Tab	Scheda precedente
Price	Prezzo
Prime Principles	Principi Primi
Private	Privata
Private container	Contenitore privato
Production	Produzione
Proficiency	Competenza
Public	Pubblica
Public container	Contenitore pubblico
Pulling from 1 chest	Prelievo da 1 cassa
Pulling from {0} chests	Prelievo da {0} casse
Pulverize	Polverizza
Pulverizing Frenzy	Frenesia Polverizzante
Pummel	Martellamento
purge	purga
Purging	Purgante
Putrid	Putrido
Pyre Echo	Eco della Pira
Pyreweaver	Tessitore di Fiamme
Qallaw's House	Casa di Qallaw
Quake	Sisma
QualityPreset	PresetQualità
Quantity	Quantità
Queen	Donna
Quest	Missione
Quest Arrows	Frecce delle missioni
Quest Complete!	Missione completata!
Quest Name Placeholder	Segnaposto nome missione
Quest Update	Aggiornamento della missione
Quests	Missioni
Queue	Coda
queue	coda
Quick	Rapido
Quick Buy	Acquisto rapido
Quick Cast	Lancio rapido
Quick Jab	Jab rapido
Quick Sell	Vendita rapida
Quicktrade	Scambio Rapido
Quit	Esci
Rabbit	Coniglio
Race	Razza
Race:	Razza:
Rage	Furia
Rage Duration	Durata furia
Rage Duration:	Durata furia:
Rage From Ruin	Furia dalla Rovina
Rage from Ruin	Furia dalla Rovina
Rageborn Flaskrat	Flaskrat nato dalla furia
Rageborn Ripper	Squartatore nato dalla furia
Raging	Furente
Rahaner	Rahaner
Rahaner Required	Richiede Rahaner
Raise ${0}	Rilancia ${0}
Random Recipe Discovery	Scoperta casuale delle ricette
Ranged Final Attack	Attacco finale a distanza
Rare	Raro
Rarity	Rarità
Rate Of Fire	cadenza di tiro
Rebuild the Earlwood Bridge	Ricostruisci il ponte di Earlwood
Recall Pet	Richiama il compagno
Received Followers:	Seguaci ricevuti:
Received Gold:	Oro ricevuto:
Received item:	Oggetto ricevuto:
Received XP:	XP ricevuti:
Recipe	Ricetta
Recipe Already Learned	Ricetta già appresa
Recipe is for another bench	La ricetta è per un altro banco
Recipe Name	Nome della ricetta
Recipe Unlock	Sblocco ricetta
Recipes	Ricette
Recoverative Rage	Furia Recuperativa
Recovering Finisher	Finisher Ristoratore
Recovery	Recupero
Redsteel	Acciaio Rosso
Reduce Motion	Riduci il movimento
Reduces Blunt Damage taken. Less effective at higher values.	Riduce il danno contundente subito. Meno efficace ai valori alti.
Reduces Decay Damage taken. Less effective at higher values.	Riduce il danno da decadimento subito. Meno efficace ai valori alti.
Reduces Ether Damage taken. Less effective at higher values.	Riduce il danno da etere subito. Meno efficace ai valori alti.
Reduces Fire Damage taken. Less effective at higher values.	Riduce il danno da fuoco subito. Meno efficace ai valori alti.
Reduces Ice Damage taken. Less effective at higher values.	Riduce il danno da ghiaccio subito. Meno efficace ai valori alti.
Reduces spell cooldowns. Less effective at higher values.	Riduce i tempi di recupero degli incantesimi. Meno efficace ai valori alti.
Refined Rune	Runa Raffinata
Refresh	Aggiorna
Refund the nodes that depend on this one first	Rimborsa prima i nodi che dipendono da questo
Regen	Rigen.
Regeneration	Rigenerazione
Regenerative Rage	Furia Rigenerativa
Region	Regione
Regular	Normale
Reinforced Bracer	Bracciale Rinforzato
Reinforced Cincture	Cintura Rinforzata
Rejection	Repulsione
Rejuvenating Rage	Furia Ringiovanente
Rejuvenation	Ringiovanimento
Rejuvination	Ringiovanimento
Relentless Assault	Assalto Implacabile
Reliable storage for gear and materials. Use as storage.	Deposito affidabile per attrezzatura e materiali. Usalo come deposito.
Rename	Rinomina
Rending	Lacerante
Reorder	Riordina
Replenishing	Ristoratore
Reposition	Riposizionamento
Require Attribute	Attributo richiesto
Require Workstation	Richiede una postazione
Required Attribute:	Attributo richiesto:
Required Materials	Materiali richiesti
Required:	Richiesti:
Required: Door Frame	Richiede: telaio della porta
Required: Foundation	Richiede: fondazione
Required: Table	Richiede: tavolo
Required: Wall	Richiede: muro
Requirements not met	Requisiti non soddisfatti
Requires crafting level {0}	Richiede livello di artigianato {0}
Requires Level	Richiede livello
Requires: {0}	Richiede: {0}
Reroll	Ritira
Reset	Azzera
Reset Attributes	Azzera gli attributi
Resin Geyser	Geyser di Resina
Resistance	Resistenza
Resistance Penetration	Penetrazione delle resistenze
Resistance Penetration Percent	Penetrazione delle resistenze %
Resistance Penetration Percent:	Penetrazione delle resistenze %:
Resistance Penetration:	Penetrazione delle resistenze:
Resistance Percent	Resistenza %
Resistance Percent:	Resistenza %:
Resistance:	Resistenza:
Resolution	Risoluzione
Resource	Risorsa
Respec	Riassegna
Respec All	Riassegna tutto
Respec All:	Riassegna tutto:
Respec All: 20 points	Riassegna tutto: 20 punti
Respec Cost:	Costo di riassegnazione:
Rest	Riposa
Rest at a campfire to refill combat items	Riposa presso un falò per ricaricare gli oggetti da combattimento
Rest at campfires to refill potions and other combat items.	Riposa ai falò per ricaricare pozioni e altri oggetti da combattimento.
Restorative	Rigenerante
Retaliation	Rappresaglia
Retarget While Casting	Cambia bersaglio durante il lancio
Rewards	Ricompense
Rewind	Riavvolgimento
Rift	Fenditura
Ring	Anello
Riposte	Riposta
Riposte Discipline	Disciplina della Riposta
Ripping	Squarciante
Ripple	Ondulazione
Rippling Echoes	Echi Ondeggianti
Riptide	Marea Impetuosa
River Crossing	Passaggio sul Fiume
Rivercaller's Grove	Boschetto di Rivercaller
Riverside Camp	Campo sul Fiume
Roadside Outpost	Avamposto sulla Strada
Roasted Droop Core	Nucleo di Droop Arrostito
Romantic Companion	Compagno Romantico
Romantic Interest	Interesse Romantico
Roof	Tetto
Roofs	Tetti
Root Spikes	Punte di Radice
Root Stomp	Pestone di Radici
Root Strike Spike	Spina del Colpo di Radice
Root Surge	Ondata di Radici
Root Thrust	Stoccata di Radice
Rootbloom	Fiore di Radici
Rootbound	Legato alle Radici
Rooted	Radicato
Rootfan	Ventaglio di Radici
Rootweaver	Tessiradici
Rosary	Rosary
Rotate	Ruota
Rotting	Putrescente
Rotting Roots	Radici Putrescenti
Rotting Stomp	Pestone Putrescente
Rotting Treant	Treant putrescente
Rotting Treant Empowered	Treant putrescente potenziato
Rough Paper	Carta Grezza
Rounds	Round
Rousing Snarl	Ringhio Incitante
Royal Flush: A, K, Q, J, 10 of the same suit.	Scala Reale Massima: A, K, Q, J, 10 dello stesso seme.
Rug	Tappeto
Rumbler	Rombante
Run by holding	Corri tenendo premuto
Rune	Runa
rune dust	polvere runica
Rune Essence	Essenza runica
Rune essence gain: +10% Coarse & Shaped	Guadagno essenza runica: +10% grezza e modellata
Rune essence gain: +20% Coarse & Shaped	Guadagno essenza runica: +20% grezza e modellata
rune smith	fabbro runico
rune-smithing	forgiatura runica
Rune-smithing	Forgiatura runica
Runed Charm	Ciondolo Runico
runesmithing	forgiatura runica
Runesmithing	Forgiatura runica
Runic Masterpiece	Capolavoro Runico
Rupture	lacerazione
Ruptured	Lacerato
Ruthless	Spietato
Salt	Sale
Salvage	Recupera
Salvage All	Recupera tutto
Salvage all	Recupera tutto
Salvage directly in inventory	Recupera direttamente nell'inventario
Sanctum	Santuario
Sanctum Alpha	Santuario Alpha
Sap Artillery	Artiglieria di Linfa
Sap Bloom	Fioritura di Linfa
Saqi	Saqi
Saqi serves hearty stove dishes and specialist drinks.	Saqi serve piatti sostanziosi da stufa e bevande speciali.
Saqi serves premium feasts and resistance dishes.	Saqi serve banchetti pregiati e piatti che donano resistenza.
Saqi's Kitchen	Cucina di Saqi
Saqi's Tavern	Taverna di Saqi
Savage	Selvaggio
Savage Claw	Artiglio Selvaggio
Savage Frostbite	Morso Gelido Selvaggio
Scarf	Sciarpa
Scavenger Guard Shop	Negozio della Guardia Saccheggiatrice
Scholar	Studioso
Scorching	Bruciante
Scout	Esploratore
scout posts	postazioni degli esploratori
Screen Shake	Scuotimento dello schermo
Scriptura Principiorum	Scriptura Principiorum
Scroll	Scorri
Scroll of Retraining	Pergamena di Riaddestramento
Search	Cerca
Searching for lobbies...	Ricerca delle lobby...
Second Wind	Secondo Respiro
Seed Bomb	Bomba di Semi
Seed Bombs	Bombe di Semi
Seedrot	Marciume di Semi
Seedstorm	Tempesta di Semi
Seeing Red	Vedere Rosso
Seeker Emblem	Emblema del Cercatore
Seismic Echo	Eco Sismica
Seismic Stampede	Carica sismica
Seismic Throne Slam	Schianto del Trono Sismico
Select	Seleziona
Select a movement type	Seleziona un tipo di movimento
Select a server	Seleziona un server
Select a target and lock on with	Seleziona un bersaglio e aggancialo con
Select at least {0} duplicate recipe items	Seleziona almeno {0} oggetti da ricetta duplicati
Select Quantity	Seleziona la quantità
Select the nearby Waygate to Fast Travel.	Seleziona il Varco vicino per il viaggio rapido.
Select to 'Fast Travel'	Seleziona per il viaggio rapido
Selected Server	Server selezionato
Selection changed. Pick your recipe items again	Selezione cambiata. Scegli di nuovo gli oggetti della ricetta
Sell	Vendi
Sell Half	Vendi metà
Sell Item	Vendi oggetto
Sell Stack	Vendi la pila
Send All	Invia tutto
Send everything in the container to your inventory	Invia tutto il contenuto nel tuo inventario
Send Half	Invia metà
Send Item	Invia oggetto
Send Matching	Invia i corrispondenti
Send Stack	Invia la pila
Send To	Invia a
Send to Pet	Invia al compagno
Sent {0} items to {1}	Inviati {0} oggetti a {1}
Septic Aftercut	Taglio Settico
Server	Server
Server is running a different version	Il server usa una versione diversa
Server lobby is full	La lobby del server è piena
Server went offline	Il server è andato offline
Set	Set
Set Bonuses	Bonus dei set
Settings	Impostazioni
Seven	Sette
SFX Volume	Volume degli effetti
Shadow	Ombra
Shadow Art	Arte dell'ombra
Shadow Arts	Arti dell'ombra
Shadow Clone	Clone d'ombra
Shadow Clones	Cloni d'ombra
Shadow Convergence	Convergenza d'ombra
Shadow Dagger	Pugnale d'ombra
Shadow Daggers	Pugnali d'ombra
Shadow Duelist	Duellante d'Ombra
Shadow Quake	Sisma d'Ombra
Shadow Quality	Qualità delle ombre
Shadow Shockwave	Onda d'Ombra
Shadowed Steel	Acciaio Ombrato
Shakers	Scuotitori
Shaman	Sciamano
Shank And Run	Accoltella e Fuggi
Shards	Frammenti
Share Map Fragments	Condividi i frammenti di mappa
Share Waygate Unlocks	Condividi i Varchi sbloccati
Sharp	Affilato
Shatter Equipment	Frantuma equipaggiamento
Shattering	Frantumante
Shatterstun	Stordimento Frantumante
Shazhn's House	Casa di Shazhn
Shazhn's Shop	Negozio di Shazhn
Shieldline	Linea di Scudi
SHIFT	MAIUSC
Shift +	Maiusc +
Shining Fungus Grove	Boschetto dei Funghi Luminosi
Shock	Scossa
Shocking	Folgorante
Shockwave	Onda di Shock
Shop	Negozio
Shot	Tiro
Shoulder Pad	Spallaccio
Shovel	Pala
Show Beacon Arrows	Mostra le frecce dei segnalatori
Show Chat	Mostra la chat
Show Filters	Mostra i filtri
Show Full Party Vitals	Mostra tutti i vitali del gruppo
Show Map Marker Indicators	Mostra gli indicatori dei segnalini
Show Mouse Direction	Mostra la direzione del mouse
Show on Map	Mostra sulla mappa
Show on map	Mostra sulla mappa
Show Only	Mostra solo
Show Other Players Damage	Mostra il danno degli altri giocatori
Show Party Arrows	Mostra le frecce del gruppo
Show Party HUD	Mostra l'HUD del gruppo
Show Party Indicators	Mostra gli indicatori del gruppo
Show Quest Arrows	Mostra le frecce delle missioni
Show Quest Tracker	Mostra il tracciatore missioni
Show Spell Indicators During Cast	Mostra gli indicatori durante il lancio
Show tooltip	Mostra descrizione
Show Tracked Quest	Mostra la missione seguita
Show/Hide Filter Menu	Mostra/nascondi il menu dei filtri
Side Quest	Missione secondaria
Side Quests	Missioni secondarie
Silent Path	Sentiero Silenzioso
Silent Recovery	Recupero Silenzioso
Silver Cat	Gatto Argentato
Silver Ward	Guardia d'Argento
Simple Bracer	Bracciale Semplice
Simple Sash	Fascia Semplice
Simple table for homes and halls.	Un tavolo semplice per case e sale.
Singing Bellflower	Campanula Canterina
Singing Bellflower Plot	Appezzamento di Campanula Canterina
Singing Bellflower Seed	Seme di Campanula Canterina
Singleplayer	Giocatore singolo
Singleplayer World	Mondo per giocatore singolo
Sisters' Grove	Boschetto delle Sorelle
Sit In	Entra al tavolo
Sit Out	Salta il turno
Six	Sei
Skill Points Unlocked: {0}	Punti abilità sbloccati: {0}
Skill Return Book	Libro di Recupero Abilità
Skill Return Scroll	Pergamena di Recupero Abilità
Skill Tree	Albero delle abilità
Skills	Abilità
Skin	Pelle
Slash And Bash	Taglia e Percuoti
Slash and Bash	Taglia e Percuoti
Sleep	Dormi
Sleeping Bag	Sacco a Pelo
Sleeping Droop	Droop dormiente
Slicing	Tagliente
Slow	Rallentamento
Small Rock	Roccia piccola
Smashing	Fracassante
Smashmouth	Smashmouth
Smashmouth Club Swing And Slam	Mazzata e Schianto di Smashmouth
Snake	Serpente
Social	Sociale
Sold out	Esaurito
Solid	Solido
Sonic Bolt	Dardo Sonico
Sonic Daggers	Pugnali Sonici
Sort	Ordina
Sort & Filter	Ordina e filtra
Sort by:	Ordina per:
Soul Mate	Anima Gemella
South Lookout Camp	Campo d'Osservazione Sud
South Ruins Camp	Campo delle Rovine Sud
Southbarrows	Southbarrows
Southern Barrens	Terre Aride Meridionali
SPACE	SPAZIO
space	spazio
Spacebar	Barra spaziatrice
Spawn Elemental Pool	Evoca Pozza Elementale
Spawn Forest Heart	Evoca Cuore della Foresta
Spectating: {0}	Stai osservando: {0}
Speed	Velocità
Speed Up	Accelera
Speed:	Velocità:
Spell	Incantesimo
Spell 1	Incantesimo 1
Spell 2	Incantesimo 2
Spell 3	Incantesimo 3
Spell 4	Incantesimo 4
Spell 5	Incantesimo 5
Spell Already Unlocked	Incantesimo già sbloccato
Spell Haste	Celerità magica
Spell Haste:	Celerità magica:
Spell On Cooldown	Incantesimo in recupero
Spell Unlock	Sblocco incantesimo
Spellbook	Libro degli incantesimi
spellcrafting	creazione di incantesimi
Spells	Incantesimi
Spent Points	Punti spesi
Spider	Ragno
Spike	Spina
Spirit Swap	Scambio Spirituale
Spiritbound	Legato allo Spirito
Spiteful	Rancoroso
Spiteful Bolt	Dardo Malevolo
Split	Dividi
Splitting	Scindente
Sprinting	Scatto
Squirrel	Scoiattolo
Stacking Effect	Effetto ad accumulo
Stairs	Scale
Stalwart	Saldo
Stamina	Vigore
Stamina Percent	Vigore %
Stamina Percent:	Vigore %:
Stamina Potion	Pozione di vigore
Stamina Regen	Rigen. vigore
Stamina Regeneration	Rigenerazione del vigore
Stamina:	Vigore:
Stampede	Carica travolgente
Standing Torch	Torcia a Stelo
Start	Inizia
Starting a new hand.	Inizio di una nuova mano.
Starting nodes cannot be refunded	I nodi iniziali non sono rimborsabili
Statistics	Statistiche
Status Effect	Effetto di stato
Status Effects	Effetti di stato
Stay Nourished, remember to Eat or Drink regularly	Resta nutrito: ricorda di mangiare o bere regolarmente
Steadfast Ally	Alleato Fedele
Steady Companion	Compagno Stabile
Stealth	Furtività
Steam is not available.	Steam non è disponibile.
Stillwater	Acqua Ferma
Stoic	Stoico
Stone	Pietra
Stone Door	Porta di Pietra
Stone Door Frame	Telaio di Pietra
Stone Doorway	Vano di Porta di Pietra
Stone Fence	Recinto di Pietra
Stone Fence Gate	Cancello di Pietra
Stone Floor	Pavimento di Pietra
Stone Foundation	Fondazione di Pietra
Stone Nails	Chiodi di Pietra
Stone Pathing	Lastricato di Pietra
Stone Pickaxe	Piccone di Pietra
Stone Quarry	Cava di Pietra
Stone Throw	Lancio di Pietra
Stone Throwing Knife	Coltello da Lancio di Pietra
Stone Wall	Muro di Pietra
Stone Woodcutting Axe	Ascia da Legna di Pietra
Stonehide	Pelle di Pietra
Stonehoove	Zoccolo di Pietra
Stop Current Item In Queue	Interrompi l'oggetto in coda
Storage	Deposito
Storm Aura	Aura Tempestosa
Storm Aura Shock	Scossa dell'Aura di Tempesta
Str	For
Straight	Diretto
Straight to the	Subito al
Stranger	Sconosciuto
Strength	Forza
Strength:	Forza:
Strike	Taglio
Strike Armor	Armatura da taglio
Strike Armor:	Armatura da taglio:
Strike Damage	Danno da taglio
Strike Damage:	Danno da taglio:
Strike Piercing	Penetrazione da taglio
Strike Piercing:	Penetrazione da taglio:
Strong Straight	Diretto potente
Structures	Strutture
Studded Amulet	Amuleto Borchiato
